ProductID,ProductName,ProductBrand,Gender,Price (INR),NumImages,Description,PrimaryColor
10012821,sej by nisha gupta set of 6 yellow & blue printed table placemats,sej by nisha gupta,unisex,899,4,set content: 6 table mats shape: rectangle colour: yellow and bluepattern: printed suitable for: 6 seater table material: cotton ,blue
10006073,id men brown leather loafers,id,men,1218,5,"a pair of square toe brown loafers, has regular styling, slip-on detailleather uppercushioned footbedtextured and patterned outsolewarranty: 3 monthswarranty provided by brand/manufacturer",brown
10013491,parfait plus size red solid underwired lightly padded t-shirt bra p5391,parfait,women,1609,2,red solid medium-coverage t-shirt bra lightly padded and underwired seamless cups regular straps and back closure back style: regular feature: all day comfort,red
10009773,spykar women blue adora skinny fit mid-rise mildly distressed stretchable cropped jeans,spykar,women,1214,7,"blue medium wash 5-pocket mid-rise cropped jeans, mildly distressed, light fade, has a button and zip closure, and waistband with belt loops",blue
10009643,spykar women blue adora skinny fit mid-rise clean look stretchable cropped jeans,spykar,women,899,7,"blue dark wash 5-pocket mid-rise cropped jeans, clean look, no fade, has a button and zip closure, and waistband with belt loops",blue
10015831,raymond men blue regular fit self design formal shirt,raymond,men,1154,5,"blue self-design formal shirt, has a spread collar, long sleeves, button placket,  straight hem, one patch pocket",blue
10014675,buckleup women multicoloured printed belt,buckleup,women,449,5,multicoloured printed beltreversible: nostretchable: nosecured with a tangwarranty: 1 monthwarranty provided by brand/manufacturer,red
10012761,peter england men black briefs piwbk9146012,peter england,men,266,5,"a pair of black briefs, has an elasticated waistband and a panelled front with a double-layered contoured pouch",black
10001887,aigner men platinum eau de toilette perfume 100 ml,aigner,men,3640,5,"notestop notes: mandarin, bergamot, ozonic, orange, tamarind, cardamom, black pepper, clove tones and crisp mint leavesheart notes: spicy woody notesbase notes: crystal amber, vanilla guaiacwood, olibanum, patchouli, sandalwood, moos",platinum
10003179,gini and jony girls blue solid jacket,gini and jony,girls,1189,3,"blue solid jacket, has a spread collar, 4 pockets, button closure, long sleeves, straight hem",blue
10003821,homesake gold-toned solid handcrafted table lamp with shade,homesake,unisex,1836,5,type: handcrafted table lamp with shadecolour: gold-tonedpattern: solidshape: frustumshade material: fabricbase material: aluminiumswitch type: toggle button,gold
10017017,campus sutra men black solid round neck faux leather t-shirt,campus sutra,men,699,5,"black solid t-shirt, has a round neck, and long sleeves with faux leather detail",black
10012721,miah decor set of 3 blue & off-white handpainted kitchen storage jars with lids,miah decor,unisex,3116,3,type:  set of 3 blue & off-white handpainted kitchen storage jars with lidspattern: printedfinish: glossymaterial: ceramic,blue
10003341,gini and jony girls peach-coloured floral embroidered fit & flare dress,gini and jony,girls,1484,4,"peach-coloured net embroidered woven fit and flare dress with embellished detail, has a round neck, short sleeves, concealed zip closure, tie-up on the back, attached lining and flared hem",red
10013417,sej by nisha gupta blue & green printed wooden open dry bin,sej by nisha gupta,unisex,999,3,set content: 1 open dry bincolour: blue and greenpattern: floral printshape: rectangular,blue
10017923,parx men blue slim fit checked casual shirt,parx,men,859,5,"blue checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket",blue
10013665,parfait plus size black lace non-wired non padded everyday bra p5482,parfait,women,1679,3,black lace full-coverage everyday branon padded and non-wired cut and sew cupsregular straps and back closureback style: regularfeature: side bone,red
10017595,parx men blue slim fit checked casual shirt,parx,men,939,5,"blue checked casual shirt, has a spread collar, short sleeves, button placket,  curved hem, one patch pocket",blue
10000805,lady lyka women pack of 2 beginners bras teenager-wht-blk,lady lyka,women,425,5,black and white solid medium-coverage beginners brasnon padded and non-wired cut and sew cupsregular straps and back closureback style: regularfeature: all day comfort,other
10012769,sej by nisha gupta set of 4 multicoloured printed table placemats,sej by nisha gupta,unisex,799,4,set content: 4 table matsshape: rectanglecolour:multicolouredpattern: printedsuitable for: 4 seater tablematerial: cotton,red
10007835,her by invictus women red cushioned loafers,her by invictus,women,1299,6,"a pair of round closed toe red loafers with comfort lining and foam cushioned footbed for your work-from-home needs. it has regular styling, and closed backsynthetic upperfoam cushioned footbedtextured and patterned outsole",red
10012881,jewel junction gold-toned & black round cufflinks,jewel junction,men,539,5,a pair of gold-toned and black round solid cufflinks,black
10013617,parfait plus size black solid non-wired non padded sports bra p5542,parfait,women,1749,3,black solid full-coverage sports bra with mesh detailnon padded and non-wired cut and sew cupsregular straps and back closureback style: regularfeature: all day comfort,red
10007811,her by invictus women tan brown cushioned slip-on shoes,her by invictus,women,949,6,"a pair of pointed closed toe tan brown slip-on shoes with cushioned footbed and comfortable lining, has regular styling, and closed backsynthetic upperfoam cushioned footbedtextured and patterned outsole",brown
10017427,dkny unisex black medium trolley bag,dkny,unisex,13320,6,"black solid medium trolley bag, secured with a tsa lockone handle on the top and one on the side, has a trolley with a retractable handle on the top and four corner mounted inline skate wheelsone main zip compartment, zip lining, two compression straps with click clasps and one zip pocketone exterior zip pocketwarranty: 5 yearswarranty provided by brand owner / manufacturer",black
10017899,parx men yellow & off-white slim fit checked casual shirt,parx,men,647,4,"yellow and off-white checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket",yellow
10017369,story@home mauve & grey geometric 210 tc cotton 1 king bedsheet with 2 pillow covers,story@home,unisex,1799,5,set content: 1 king bedsheet with 2 pillow coversquality: finethread count: 210colour: mauve and greypattern: geometric,grey
10017671,parx men blue & off-white slim fit printed casual shirt,parx,men,779,5,"blue and off-white printed casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket",blue
10007595,her by invictus women green cushioned slip-ons,her by invictus,women,1999,6,"a pair of pointed toe green slip-ons with cushioned footbed, has regular styling, slip-on detailsynthetic suede upperfoam cushioned footbedtextured and patterned outsole",green
10004343,park avenue women blue skinny fit mid-rise clean look jeans,park avenue,women,569,5,"blue dark wash five-pocket mid-rise jeans, clean look with light fade, has a button and zip closure, waistband with belt loops",blue
10007683,roadster women black textured open toe flats,roadster,women,1699,6,"a pair of black open-toed flats, has regular styling, no back strap detailsynthetic uppercushioned footbedtextured and patterned outsolewarranty: 1 monthwarranty provided by brand/manufacturer",red
10007801,her by invictus women black textured cushioned flats,her by invictus,women,944,6,"a pair of black pointed toe cushioned flats, has regular styling, slip-on detailsynthetic uppercushioned footbedtextured and patterned outsole",red
10002181,u.s. polo assn. denim co. men navy blue solid bomber jacket,u.s. polo assn. denim co.,men,3499,7,"navy solid bomber jacket, has a stand collar, 2 pockets, zip closure, long sleeves, straight hem, and attached lining with 3 inner pockets",blue
10012783,sej by nisha gupta set of 6 pink printed table placemats,sej by nisha gupta,unisex,899,4,set content: 6 table mats shape: rectangle colour: pink and multicoloured pattern: printed suitable for: 6 seater table material: cotton ,pink
